Magic FM,https://live.magicfm.ro/magicfm.aacp,0
Radio Petrecaretzu,http://live.radiopetrecaretzu.ro:8383/;audio.mp3,0
Radio Hot Style,http://mp3.radiohot.ro:8000/;,0
DJ Radio Romania,https://stream.djradio.ro/listen/dj_radio_romania/aac,0
Radio Tequila Manele (Bucuresti),https://ssl.servereradio.ro/7000/stream,0
Radio Lautaru Popular,http://live.radiolautaru.ro:9000/Stream,0
Napoca FM,https://streaming.napocalive.ro/napoca-fm,0
Play Urban,https://live.playradio.org:8443/UrbanHD,0
PlayMusic FM,http://stream.playmusicfm.info:9000/;,0
Radio Romanian Disco,http://asculta.radioromanian.net:8700/;?icy=http,0
MB Music Radio,https://s33.myradiostream.com/:16150/listen.mp3?nocache=1682445093,0
Radio Blaj,https://ssl.radios.show/8016/stream,0
Radio Fx Net,http://asculta.radiofxnet.ro:8000/stream,0
Radio Romanian Rock,http://asculta.radioromanian.net:8800/;?icy=http,0
RADIO ROMANCE21.ROMANIA,https://free.rcast.net/200392,0
gofm.ro,http://live.gofm.ro:9128/;,0
Kiss Fm Ro,https://live.kissfm.ro/kissfm.aacp,0
Radio Tequila Hip-Hop,http://necenzurat.radiotequila.ro:7000/;,0
Fresh FM,https://radio.onlinehost.ro/listen/freshfm/radio.mp3,0
Radio Funky,http://live.radiofunky.ro:8888/index.html,0
Radio Petrecere,http://petrecere.fmradiomanele.ro:8123/index.html?sid=1,0
Radio Prahova 99.2 FM,http://streamx.rph.ro:8002/relay,0
Shuffle FM,http://bluz.ro:8000/index.html?sid=1,0
